Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
Included,auto,No,87030,51022,506687,7634,652373,0.35
Included,auto,No,77422,5519,1166164,7132,1256237,0.44
Included,auto,No,25178,103056,986410,6778,1121422,0.45
Included,auto,No,156296,9260,1623248,8577,1797381,0.66
Included,auto,No,12271,46749,887617,6422,953059,0.33
Included,auto,No,62839,11772,472139,6782,553532,0.25
Included,auto,No,51502,28151,256993,5917,342563,0.2
Included,auto,No,5374,28511,808017,2780,844682,0.26
Included,auto,No,19900,124417,676167,1948,822432,0.36
Included,auto,No,165210,5838,3787375,11093,3969516,1.23
Included,auto,No,138442,6712,1029351,7423,1181928,0.48
Included,auto,No,11939,7186,795323,6892,821340,0.26
Included,auto,No,111572,68133,773147,7564,960416,0.46
Included,auto,No,27037,0,830208,7370,864615,0.29
Included,auto,No,14882,0,700928,7197,723007,0.24
Included,auto,No,19150,0,750336,8082,777568,0.26
Included,auto,No,11544,0,332544,6182,350270,0.13
Included,auto,No,24527,0,478464,6632,509623,0.19
Included,auto,No,19547,0,228608,5556,253711,0.11
Included,auto,No,35920,0,227328,4898,268146,0.13
Included,auto,No,26287,823,459034,6709,492853,0.19
Included,auto,No,9290,0,301568,5032,315890,0.12
Included,auto,No,8897,0,251904,4564,265365,0.1
Included,auto,No,6520,0,175616,3971,186107,0.08
Included,auto,No,16217,0,137216,3425,156858,0.08
Included,auto,No,22332,0,190976,3898,217206,0.1
Included,auto,No,47353,0,208128,3643,259124,0.13
Included,auto,No,7427,29524,257439,4058,298448,0.13
Included,auto,No,8556,23158,282055,4665,318434,0.14
Included,auto,No,24041,827,304189,4753,333810,0.14
Included,auto,No,1598,737,5819,324,8478,0.01
Included,auto,No,7502,7637,1015830,2172,1033141,0.29
Included,auto,No,8978,13418,1067405,2471,1092272,0.31
Included,auto,No,6810,23193,629325,3813,663141,0.22
Included,auto,No,25603,72336,1037806,5377,1141122,0.41
Included,auto,No,18302,4994,1316131,5537,1344964,0.39
Included,auto,No,26350,16546,402638,2001,447535,0.17
Included,auto,No,70101,0,493824,3501,567426,0.23
Included,auto,No,15677,18245,478152,2560,514634,0.18
Included,auto,No,10298,28575,477556,5238,521667,0.2
Included,auto,No,37026,8661,443736,6399,495822,0.21
Included,auto,No,11387,9427,299874,4963,325651,0.13
Included,auto,No,11231,1035,206954,4370,223590,0.09
Included,auto,No,1738,0,5632,138,7508,0.004
Included,auto,No,43504,0,78880,9369,131753,0.13
Included,auto,No,39214,0,531456,8026,578696,0.23
Included,auto,No,21050,0,272128,7727,300905,0.14
Included,auto,No,20079,0,132096,5417,157592,0.09
Included,auto,No,0,0,0,8381,8381,0.05
Included,auto,No,0,0,0,8685,8685,0.05
Included,auto,No,0,0,0,8538,8538,0.05
Included,auto,No,0,0,0,7705,7705,0.05
Included,auto,No,0,0,0,8916,8916,0.05
Included,auto,No,0,0,0,8538,8538,0.05
Included,auto,No,89456,0,545024,8664,643144,0.3
Included,auto,No,18657,0,426240,8586,453483,0.18
Included,auto,No,22303,0,289536,10527,322366,0.16
Included,auto,No,24433,0,195072,9455,228960,0.14
Included,auto,No,13460,0,285696,8861,308017,0.14
Included,auto,No,26252,0,121856,8115,156223,0.11
Included,auto,No,24179,0,214272,8137,246588,0.13
Included,auto,No,94518,0,277504,8310,380332,0.24
Included,auto,No,11013,0,399872,7918,418803,0.16
Included,auto,No,10058,0,280064,7950,298072,0.13
Included,auto,No,10987,0,358656,7752,377395,0.15
Included,auto,No,9549,0,202752,7030,219331,0.1
Included,auto,No,9700,0,166400,7458,183558,0.1
Included,auto,No,10121,0,195584,6123,211828,0.1
Included,auto,No,8068,0,122368,5325,135761,0.07
Included,auto,No,17488,0,146944,5781,170213,0.09
Included,auto,No,27211,32147,237615,8171,305144,0.18
Included,auto,No,36514,20110,179641,8982,245247,0.17
Included,auto,No,20545,1855,108511,7028,137939,0.1
Included,auto,No,38789,0,868960,5735,913484,0.3
Included,auto,No,36874,0,783808,4869,825551,0.27
Included,auto,No,10636,0,727968,6153,744757,0.23
Included,auto,No,18436,0,625632,5631,649699,0.21
Included,auto,No,29963,0,428288,5399,463650,0.18
Included,auto,No,108884,0,679136,6776,794796,0.35
Included,auto,No,106738,0,359968,9292,475998,0.28
Included,auto,No,10568,0,917056,54808,982432,0.57
Included,auto,No,17950,0,231456,4200,253606,0.11
Included,auto,No,49223,0,458240,5336,512799,0.21
Included,auto,No,54644,0,498208,7091,559943,0.24
Included,auto,No,68959,0,142752,4819,216530,0.15
Included,auto,No,42858,0,50400,5221,98479,0.1
Included,auto,No,24282,0,75680,3838,103800,0.07
Included,auto,No,56837,0,194528,5447,256812,0.15
Included,auto,No,50092,0,198432,4107,252631,0.14
Included,auto,No,84155,0,238848,5817,328820,0.2
Included,auto,No,106007,0,362816,5347,474170,0.26
Included,auto,No,3962,0,164064,3817,171843,0.07
Included,auto,No,15030,0,123648,4555,143233,0.08
Included,auto,No,72999,0,66304,22624,161927,0.24
Included,auto,No,14397,0,63712,3976,82085,0.06
Included,auto,No,21871,0,54912,3991,80774,0.07
Included,auto,No,28760,0,525504,5115,559379,0.2
Included,auto,No,61007,0,405504,5234,471745,0.21
Included,auto,No,44685,0,376832,5364,426881,0.18
Included,auto,No,50917,0,261408,5367,317692,0.16
Included,auto,No,103889,0,106272,4717,214878,0.18
Included,auto,No,56685,0,84704,6395,147784,0.13
Included,auto,No,19636,0,515104,5600,540340,0.19
Included,auto,No,13125,0,551904,5573,570602,0.19
Included,auto,No,19563,0,482272,5434,507269,0.18
Included,auto,No,61910,0,836320,6381,904611,0.32
Included,auto,No,18595,0,268160,4290,291045,0.12
Included,auto,No,80851,0,195456,4988,281295,0.18
Included,auto,No,60593,0,105696,4499,170788,0.13
Included,auto,No,30744,0,57728,4726,93198,0.08
Included,auto,No,24197,0,50304,4165,78666,0.07
Included,auto,No,5524,0,417504,1686,424714,0.12
Included,auto,No,14975,0,520832,3386,539193,0.17
Included,auto,No,10089,0,620672,4104,634865,0.19
Included,auto,No,5354,0,354336,3462,363152,0.12
Included,auto,No,3160,0,340032,3933,347125,0.11
Included,auto,No,102736,0,332960,3326,439022,0.23
Included,auto,No,17431,0,392224,3850,413505,0.14
Included,auto,No,4608,0,283520,3416,291544,0.1
Included,auto,No,56904,0,391904,3568,452376,0.19
Included,auto,No,4910,0,243808,3701,252419,0.09
Included,auto,No,35099,0,196448,3463,235010,0.11
Included,auto,No,190944,0,221280,5250,417474,0.33
Included,auto,No,32604,0,266176,3780,302560,0.13
Included,auto,No,15679,0,292352,4131,312162,0.12
Included,auto,No,33809,0,275744,5109,314662,0.14
Included,auto,No,28719,0,155648,4262,188629,0.1
Included,auto,No,44078,0,96960,4271,145309,0.1
Included,auto,No,0,33471,652036,831,686338,0.21
Included,auto,No,0,47309,994879,995,1043183,0.31
Included,auto,No,0,10696,223215,646,234557,0.07
Included,auto,No,0,23250,577139,993,601382,0.17
Included,auto,No,0,33107,454213,1337,488657,0.17
Included,auto,No,0,85570,1498304,3648,1587522,0.51
Included,auto,No,0,72000,1237975,3654,1313629,0.44
Included,auto,No,0,38733,112812,272,151817,0.1
Included,auto,No,0,45314,154317,1139,200770,0.14
Included,auto,No,0,809,6369,46,7224,0.003
Included,auto,No,0,43037,151510,1698,196245,0.14
Included,auto,No,0,1862,12486,104,14452,0.01
Included,auto,No,0,28717,90488,3246,122451,0.11
Included,auto,No,0,1037,5760,144,6941,0.003
Included,auto,No,0,22040,19608,1858,43506,0.07
Included,auto,No,0,2401,18504,194,21099,0.01
Included,auto,No,0,395,6912,35,7342,0.002
